ids,start_time,days,mean,max,min,depth
100390731,2010-10-11 06:00:00+00:00,32,0.50,2.00,0.25,-1.0
100420691,2010-10-30 23:00:00+00:00,25,0.50,1.50,0.25,-1.0
104440671,2010-05-02 00:30:00+00:00,44,1.01,2.22,0.52,-1.0
104440671,2010-06-15 10:37:00+00:00,36,1.01,2.17,0.43,-1.0
105440671,2010-05-04 19:13:00+00:00,12,1.04,2.02,0.75,-1.0
105440671,2010-05-19 09:13:00+00:00,25,1.03,2.88,0.75,-1.0
105440672,2010-05-04 19:13:00+00:00,69,1.03,2.88,0.78,-1.0
105440675,2010-05-11 20:10:00+00:00,15,1.00,1.28,0.68,-1.0
105440676,2010-05-11 20:02:00+00:00,24,1.04,2.27,0.73,-1.0
1054406810,2010-05-16 07:09:00+00:00,12,1.07,2.98,0.78,-1.0
106340751,2010-06-04 21:30:00+00:00,25,0.50,1.00,0.50,-1.0
1064107012,2010-06-25 18:58:00+00:00,13,1.02,2.12,0.75,-1.0
1064107012,2010-07-09 10:58:00+00:00,16,1.03,2.23,0.12,-1.0
1064107012,2010-08-06 09:58:00+00:00,17,1.04,2.98,0.75,-1.0
106410712,2010-06-22 22:08:00+00:00,21,1.02,2.13,0.70,-1.0
106410712,2010-07-14 08:16:00+00:00,12,1.05,2.85,0.28,-1.0
106420701,2010-06-08 16:20:00+00:00,11,0.55,2.23,0.27,-1.0
106420702,2010-06-08 16:39:00+00:00,23,0.55,2.88,0.27,-1.0
106420703,2010-06-25 19:41:00+00:00,65,1.02,2.92,0.08,-1.0
106430701,2010-06-16 17:46:00+00:00,29,0.50,1.50,0.12,-1.0
106440671,2010-06-09 19:42:00+00:00,19,0.51,1.50,0.25,-1.0
106440672,2010-06-09 19:44:00+00:00,21,0.51,1.50,0.25,-1.0
106440673,2010-06-09 19:35:00+00:00,21,0.50,1.02,0.23,-1.0
106440674,2010-06-09 19:40:00+00:00,21,0.51,2.60,0.25,-1.0
106440681,2010-06-08 22:04:00+00:00,21,0.51,1.50,0.20,-1.0
106440682,2010-06-08 21:08:00+00:00,17,0.53,2.35,0.20,-1.0
106440683,2010-06-08 21:14:00+00:00,21,0.54,1.90,0.28,-1.0
107410704,2010-07-16 19:38:00+00:00,30,1.03,2.12,0.75,-1.0
